SampleID,ModernCalculus,Plaque,Skin,Soil,Unknown
A20363_Georgia_EarlyMiddleAges,0.00093,0.09252,0.00028,0,0.90627
A20366_Georgia_EarlyMiddleAges,0.00237,0.59143,0.00012,0,0.40608
A20389_Georgia_EarlyMiddleAges,0.00247,0.3707,0.00011,0,0.62672
A20374_Georgia_EarlyMiddleAges,0.00015,0.00042,2.00E-05,0,0.99941
A20394_Georgia_EarlyMiddleAges,0.00223,0.39223,0.00023,0,0.60531
A20339_Georgia_Antique,0.00192,0.20069,0.00011,0,0.79728
A20368_Georgia_EarlyMiddleAges,0.00127,0.30774,0.00018,0,0.69081
A20381_Georgia_EarlyMiddleAges,0.00176,0.38515,0.00011,0,0.61298
A20345_Georgia_Antique,0.00489,0.72483,0.00023,0,0.27005
A20351_Georgia_Antique,0.00146,0.50258,0.00012,0,0.49584
A20376_Georgia_EarlyMiddleAges,0.02815,0.3917,0.0001,0,0.58005
